3,13,22,0,0,0,0,9,2,0.0,0.3333333333333333,1
2,5,10,0,0,0,0,6,2,0.0,0.5,1
2,10,15,0,0,0,0,6,0,0.0,0.0,0
1,4,4,0,0,0,0,3,1,0.0,0.0,0
1,12,12,0,0,1,0,3,1,0.0,1.0,1
1,8,8,0,0,0,0,3,0,0.0,0.0,1
1,3,3,0,0,0,0,3,1,0.0,1.0,0
2,17,17,0,0,0,0,6,2,0.5,0.0,0
2,13,17,0,1,0,0,6,0,0.0,0.0,1
3,14,28,1,0,0,0,9,2,0.3333333333333333,0.0,2
3,13,18,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,0
4,23,32,1,0,0,0,12,0,0.0,0.0,0
4,32,32,0,0,1,0,12,2,0.0,0.25,4
5,16,37,0,1,0,0,15,3,0.4,0.0,2
5,16,31,0,0,0,0,15,0,0.0,0.0,0
6,21,53,2,0,0,0,18,3,0.3333333333333333,0.0,4
6,16,50,0,0,1,1,18,6,0.3333333333333333,0.8333333333333334,2
7,30,46,0,0,0,1,21,0,0.0,0.0,5
7,27,65,1,2,0,0,21,6,0.0,0.7142857142857143,1
7,24,45,0,0,1,0,21,3,0.2857142857142857,0.0,4
7,19,45,0,0,0,0,21,0,0.0,0.0,1
6,18,46,0,1,1,0,18,3,0.3333333333333333,0.0,2
6,22,55,0,1,2,0,18,3,0.3333333333333333,0.16666666666666666,2
5,23,36,0,0,1,0,15,0,0.0,0.0,0
5,20,36,1,0,0,1,15,2,0.0,0.2,1
4,11,20,0,0,0,1,12,2,0.0,0.25,0
4,24,49,2,0,0,1,12,0,0.0,0.0,4
3,22,29,0,0,1,0,9,3,0.6666666666666666,0.0,0
3,18,22,0,0,0,1,9,3,0.6666666666666666,0.3333333333333333,2
2,17,17,0,0,0,1,6,0,0.0,0.0,1
2,12,17,0,0,1,0,6,2,0.0,0.5,1
1,14,14,1,0,0,0,3,1,0.0,1.0,0
1,12,12,0,0,1,0,3,0,0.0,0.0,1
1,9,9,0,0,0,0,3,1,0.0,0.0,1
1,13,13,0,1,0,0,3,1,0.0,1.0,0
2,14,25,1,0,0,1,6,0,0.0,0.0,2
2,14,26,1,0,1,0,6,2,0.0,0.5,0
3,12,19,0,0,1,0,9,2,0.3333333333333333,0.3333333333333333,1
3,29,29,0,0,0,1,9,0,0.0,0.0,2
4,21,38,0,0,1,1,12,4,1.0,0.0,0
4,19,36,0,0,0,1,12,4,1.0,0.5,1
5,15,30,0,0,0,0,15,0,0.0,0.0,0
5,25,53,1,1,1,1,15,1,0.0,0.0,4
6,35,49,0,1,0,1,18,3,0.3333333333333333,0.0,5
6,28,37,0,1,0,0,18,0,0.0,0.0,0
7,19,48,0,1,1,0,21,3,0.2857142857142857,0.0,2
7,27,62,1,0,1,0,21,3,0.2857142857142857,0.0,3
7,20,50,0,0,1,0,21,0,0.0,0.0,0
7,37,57,0,0,0,2,21,2,0.0,0.14285714285714285,4
