1,14,14,1,0,0,0,3,1,0.0,1.0,1
2,19,19,1,0,0,0,6,0,0.0,0.0,2
3,13,24,0,0,0,1,9,3,0.3333333333333333,0.6666666666666666,0
4,21,33,1,0,1,0,12,4,0.0,0.75,0
5,21,42,0,1,0,1,15,0,0.0,0.0,2
6,30,56,1,0,1,0,18,4,0.5,0.3333333333333333,2
7,28,39,0,0,1,0,21,5,0.0,0.5714285714285714,0
7,40,60,1,2,0,0,21,0,0.0,0.0,5
6,24,40,0,0,0,0,18,4,0.5,0.5,1
5,22,31,0,0,1,0,15,4,0.0,0.6,0
4,11,26,0,0,0,1,12,0,0.0,0.0,1
3,13,22,0,1,0,0,9,2,0.3333333333333333,0.3333333333333333,1
2,5,8,0,0,0,0,6,2,0.0,1.0,0
1,10,10,0,0,0,0,3,0,0.0,0.0,1
1,7,7,0,0,0,0,3,1,1.0,1.0,0
2,11,14,0,0,0,1,6,2,0.0,0.5,1
3,13,36,0,1,1,1,9,0,0.0,0.0,3
4,16,28,0,0,0,0,12,4,0.25,0.75,1
5,37,49,1,0,1,1,15,2,0.0,0.2,3
6,26,50,1,1,0,0,18,0,0.0,0.0,4
7,26,65,1,0,1,1,21,3,0.2857142857142857,0.2857142857142857,1
7,27,54,2,0,0,0,21,5,0.0,0.5714285714285714,0
6,25,42,0,1,0,0,18,0,0.0,0.0,2
5,22,35,0,1,0,0,15,4,0.2,0.6,2
4,24,28,0,1,0,0,12,3,0.0,0.5,1
3,16,30,1,0,1,0,9,0,0.0,0.0,3
2,12,18,0,0,1,0,6,2,0.5,0.5,0
1,2,2,0,0,0,0,3,1,0.0,1.0,0
1,8,8,0,0,0,0,3,0,0.0,0.0,1
2,11,20,0,0,0,1,6,2,0.5,0.5,1
3,12,24,0,0,1,0,9,3,0.0,0.6666666666666666,0
4,14,28,1,0,0,0,12,0,0.0,0.0,1
5,21,35,0,0,0,1,15,4,0.6,0.6,0
6,20,48,0,0,1,1,18,4,0.0,0.5,3
7,29,66,0,1,1,0,21,0,0.0,0.0,4
7,26,47,0,0,1,0,21,3,0.14285714285714285,0.2857142857142857,1
6,29,46,1,0,0,0,18,4,0.0,0.5,3
5,23,37,1,0,1,0,15,0,0.0,0.0,1
4,25,36,1,0,0,1,12,3,0.25,0.5,0
3,11,18,0,0,0,0,9,2,0.0,0.3333333333333333,2
2,11,22,0,0,0,2,6,0,0.0,0.0,1
